from,to,weight,edge_type
184454323,184748132,1209.85950248,residential
184748132,184706531,1183.05763143,residential
184454323,184663673,2197.16731359,tertiary
184663673,184711391,633.263790106,tertiary
184711391,184711395,395.950896796,tertiary
184711395,184711399,1623.73404646,tertiary
184711399,184711403,214.920995806,tertiary
184711403,184711427,1284.40845349,tertiary
184748132,184728896,3171.58134983,residential
184762997,184763002,24.5919799941,residential
184763002,184762997,24.5919799941,residential
184711395,184655933,789.999424012,tertiary
184655933,184728896,426.759434694,tertiary
184728896,184728908,311.87618847,tertiary
184728908,2681430131,18.1730756476,tertiary
184706531,184706622,913.778374077,residential
184417931,184631066,386.203859445,residential
184631066,184665969,31.0338823803,residential
184665969,184666002,87.9911621175,residential
184666002,184646358,224.921368052,residential
184646358,184632168,123.662353515,residential
184632168,184666032,108.018611516,residential
184666032,184645285,179.353251615,residential
184645285,184662668,218.628248531,residential
184662668,184631036,186.925351354,residential
184631036,2681431621,333.722182696,residential
184666002,184655382,282.887907878,residential
184655382,184666032,104.236297119,residential
184663082,184630969,104.13530523,residential
184417931,184768807,161.761770752,residential
184768807,184768809,108.678357976,residential
184768809,184629714,36.7441281564,residential
184629714,184663082,358.30753232,residential
184663082,184706633,134.746169192,residential
184706633,184664370,585.105187327,residential
184664370,184762979,78.6150286796,residential
184665969,184662722,86.442261274,residential
184763102,184706622,33.0841350878,residential
184706622,184654538,687.384716253,residential
184654538,184763002,37.6415761848,residential
2681431621,184763102,29.8949723029,residential
184627804,184627795,121.983852503,residential
184645285,184638307,272.073899197,residential
184629851,184629904,437.03873127,residential
2681430131,184647685,1019.57628888,tertiary
184647685,184663419,269.642362157,tertiary
184663419,184663309,99.8644489539,tertiary
184663309,184720139,326.343868461,tertiary
184647144,184658902,326.44373401,residential
184629904,184647144,143.174730846,residential
184624936,184624977,247.972779564,residential
184631036,184645294,404.314525984,residential
184645294,184627804,224.593861711,residential
184627804,184661540,180.856170583,residential
184661540,184644133,211.26744485,residential
184644133,184658902,250.313096165,residential
184658902,184624936,97.0006734786,residential
184624936,184624977,247.972779564,residential
184624977,184651958,326.356243541,residential
184651958,184720139,482.943371256,residential
184720139,184656005,103.892697642,residential
184656005,184650208,500.037098929,residential
184650208,184720145,1009.26878089,residential
184630939,184630969,128.357370978,residential
184630969,184631025,1574.04319972,residential
184631513,184631578,367.097473157,residential
184706633,184630939,112.753965267,residential
184630939,184631513,904.908082465,residential
184631513,184631578,367.097473157,residential
184631578,184706646,227.828759881,residential
184706646,184647624,1613.30188262,residential
184762979,184762972,202.218031282,residential
184762972,184762964,314.030099006,residential
184762964,184762960,793.681681905,residential
184762960,184442591,1216.12874687,residential
184661540,184629851,366.773884929,residential
184629851,184640012,70.3302207648,residential
184640012,184648285,255.092761653,residential
184648285,184631025,316.244037753,residential
184631025,184706646,589.309116325,residential
184706646,184759869,803.698039164,residential
184759869,184759878,2402.71650355,residential
184759878,184720296,1606.86071764,residential
184720296,184759910,755.582287949,residential
184759910,184684347,702.29423566,residential
184671032,184671051,1637.46493238,residential
184671051,184453357,365.540227984,residential
184652712,184652712,0.0,residential
184652712,184652771,372.58358628,residential
184656057,184656102,202.125013581,residential
184684339,184656057,528.696246018,residential
184656057,184652771,183.539256973,residential
184652771,184656102,116.360221668,residential
184656102,184759910,556.247936717,residential
184671032,184684339,857.301168805,residential
184684339,184684347,760.730260196,residential
184684347,184646957,118.141778106,residential
184646957,184684310,214.742213308,residential
184684310,184652021,233.432606635,residential
184652021,184641648,759.521038131,residential
184641648,184684360,280.103631513,residential
184634307,184652016,170.343026937,residential
184652016,184652021,152.640479833,residential
184453357,184655336,542.563249347,tertiary
184655336,184750737,1068.23750773,tertiary
184750737,184688711,807.51514339,tertiary
184634305,184634307,23.8505430084,residential
184634307,184634305,23.8505430084,residential
184642999,184643016,285.078560956,residential
184643016,184643021,39.8480774687,residential
184688711,184642999,204.972251804,tertiary
184642999,184660156,286.433885563,tertiary
184660156,184688715,108.803994875,tertiary
184688715,184688716,99.4921010467,tertiary
184688716,184688720,101.891805954,tertiary
184688715,184725506,84.4103096098,residential
184711399,183789793,207.278422072,tertiary
183789786,183789786,0.0,service
183789786,183789793,56.3376802901,service
184625989,184626014,456.729975818,residential
184626014,184626016,167.935205794,residential
184643629,184643641,153.497909396,residential
184643641,184627322,324.470163079,residential
184627322,184626016,398.593331125,residential
184797850,184643848,188.296562826,tertiary
184643848,184643907,664.746009927,tertiary
184643907,184711399,609.501615675,tertiary
184659202,184659194,105.508012626,service
184659204,184659192,133.816372541,service
184797849,184797850,20.1467836921,tertiary
184638821,184638828,44.7090535035,residential
184638844,184638828,50.1327855103,residential
184659162,184659192,213.70342301,service
184659192,184659194,54.096739884,service
184659194,184659202,105.508012626,service
184659202,184659204,69.555304527,service
184659204,184659162,125.697517809,service
184659162,184659207,113.485004803,service
184797842,184659207,402.4129923,residential
184659207,184655623,510.818774813,residential
184655623,184665230,188.251519655,residential
184665230,184629967,76.0001788948,residential
184629967,184713302,442.819384662,residential
184711427,184711434,31.2434594711,tertiary
184633007,184657506,489.749702983,service
184659734,184659769,709.43534665,residential
184658228,184640580,105.255245222,residential
184711445,184661882,304.503875835,residential
184661882,184658228,102.623810728,residential
184658228,184653931,288.702605069,residential
184653931,184666114,413.28371891,residential
184666114,184649220,90.5013608718,residential
184649220,184628309,192.178624269,residential
184628309,184713302,216.391867892,residential
184633017,184649223,299.195638985,residential
184649220,184649223,410.816997872,residential
184649223,184641702,384.340564035,residential
184647685,184625989,579.574815301,residential
184625723,184625728,689.938909567,residential
184769093,184665139,1850.40637663,tertiary
184665139,184720145,554.408445558,tertiary
184720145,184643629,1034.93551316,tertiary
184643629,184638844,405.538572582,tertiary
184638844,184638821,47.8597702687,tertiary
184638821,184797842,114.644113895,tertiary
184797842,184797849,128.309771604,tertiary
184722741,184667036,188.422948957,residential
184706633,184664361,430.791502249,tertiary
184664361,184759869,1400.32875721,tertiary
184759869,184728963,1617.19560679,tertiary
184728963,184769093,1618.21578582,tertiary
184769093,184667050,194.458941934,tertiary
184667050,184713325,1414.20136796,tertiary
184713325,184680427,808.723918499,tertiary
184680427,184696913,802.352494263,tertiary
184696913,184633250,803.843178465,tertiary
184633250,184769130,102.078330776,tertiary
184769130,184639336,246.412757153,tertiary
184639336,184639313,276.016903891,tertiary
184639313,184636249,156.723288047,tertiary
184636249,184706103,170.922476643,tertiary
184706103,184728221,818.066589338,tertiary
184667036,184667050,165.115708776,residential
184625723,184655696,79.7769386107,residential
184720145,184625728,796.745507785,residential
184625728,184713308,817.950511841,residential
184644730,184644736,293.29221063,residential
184644736,184644736,0.0,residential
184713302,184661900,79.3580842562,residential
184661900,184659239,310.869594001,residential
184659239,184644730,1021.70124232,residential
184644730,184713308,190.845424444,residential
184713308,184691370,400.195774062,residential
184691370,184713325,2005.69432908,residential
184711434,184711445,73.6355237399,tertiary
184711445,184657506,414.245677772,tertiary
184657506,184659734,728.272449852,tertiary
184659734,184711456,493.01315462,tertiary
184711456,183886568,2216.69522356,tertiary
183803828,183886568,118.221236766,secondary
184713302,184664102,195.767402921,residential
184664102,184657451,3725.52301234,residential
183886568,184657451,1545.00103333,secondary
184657451,184727883,809.244537786,secondary
184727883,184727891,609.350824462,secondary
184727891,184727894,461.881790624,secondary
184711514,184770831,2365.18948151,residential
184770831,184627376,1751.66653017,residential
184627376,184732522,298.362379381,residential
184732522,184727929,371.460020532,residential
184727883,184792201,267.240484348,residential
184792201,184770831,804.164684975,residential
184770831,184672257,1626.90843134,residential
184691370,184641691,559.645043089,residential
184641691,184664570,654.030646756,residential
184664570,184691384,394.924524824,residential
184691384,184691417,2726.08145879,residential
184755462,184755531,689.58800588,residential
184691384,184657407,797.288603028,residential
184657407,184696913,1206.50300506,residential
184696913,184696918,1294.15326954,residential
184696918,184696927,1116.00271171,residential
184757288,184755531,117.777455967,residential
184633250,184633259,358.290305211,residential
184755531,184633259,49.4537539428,residential
184633259,184757288,68.8598852438,residential
184757288,184769130,350.980055004,residential
184650006,184633215,52.8494155281,service
184633215,184633231,48.0040665015,service
184633231,184633241,111.433163512,service
184633241,184650026,164.376121691,service
184633231,184650006,23.2462873586,service
184650006,184650026,169.77594666,service
184650026,184639321,156.409718436,service
184639321,184639331,41.6984275779,service
184639321,184639331,41.6984275779,service
184639331,184639336,60.7518426971,service
184702989,184770133,255.722817301,residential
184770133,184748190,73.0867478894,residential
184748190,184770133,73.0867478894,residential
184770133,184639305,317.210316008,residential
184639305,184706048,114.921161145,residential
184706048,184706103,528.178836388,residential
184727891,184792201,632.441496866,residential
184727894,184758193,1261.32520261,secondary
184631424,184631400,27.6675279244,service
184631379,184631400,537.134708118,service
184631400,184631424,27.6675279244,service
184727894,184691417,568.485546691,residential
184691417,184660999,927.228848545,residential
184660999,184727929,132.743750241,residential
184727929,184727938,431.40415342,residential
184727938,184670980,131.602803443,residential
184670980,184697250,212.241604319,residential
184697250,184727940,121.070295865,residential
184758193,184732522,42.6427604473,secondary
184683213,184708773,118.832043712,residential
184708773,184740623,103.117414333,residential
184740623,184696565,121.582951064,residential
184696565,184727938,198.281587793,residential
184728231,184719556,390.399663691,residential
184719556,184669570,54.1413971678,residential
184728235,184719496,405.895614104,residential
184719496,184739797,174.607604736,residential
184683213,184683220,516.671291098,residential
184708773,184669109,291.330786132,residential
184728246,184669112,156.165235155,residential
184669112,184740623,288.01882053,residential
184728221,184728231,60.4872875082,tertiary
184728231,184728235,149.757733692,tertiary
184728235,184683220,387.261195806,tertiary
184683220,184708767,94.0215365728,tertiary
184708767,184728246,96.9761187845,tertiary
184728246,184722317,69.9916588406,tertiary
184722317,184679451,199.687102056,tertiary
184679451,184708856,207.634583353,tertiary
184669109,184669112,91.3316366394,residential
184669112,184669114,105.017806153,residential
184669109,184708767,157.360210536,residential
184669114,184696565,300.299159601,residential
184679451,184679453,142.710004255,residential
184679453,184670989,197.345238206,residential
184719496,184719506,111.156885765,residential
184719506,184719514,533.551447655,residential
184719514,184719518,140.241262664,residential
184719518,184719522,58.2107966169,residential
184719522,184708867,206.909944729,residential
184708468,184708472,101.573956796,residential
184708472,184708476,97.7435823457,residential
184756040,184708472,141.698523999,residential
184719522,184756041,163.633176145,residential
184756041,184708476,141.216685691,residential
184708476,184679451,100.89243707,residential
184722321,184756040,98.8628442676,residential
184756040,184756041,100.876654095,residential
184756041,184708865,209.577194011,residential
184722317,184708468,99.5758593435,residential
184708468,184722321,140.472850401,residential
184722321,184719514,165.390676844,residential
184719514,184722324,110.376175541,residential
184719518,184771673,111.691694715,residential
184669463,184669474,150.521413134,residential
184669474,184669477,268.589825548,residential
184669474,184704524,104.761048208,residential
184704524,184704528,150.792698414,residential
184704528,184669477,87.2945796219,residential
184704524,184704528,150.792698414,residential
184732522,184669463,104.185320053,secondary
184669463,184670969,926.979702616,secondary
184670969,184732539,218.345781686,secondary
184747603,184670959,168.024532493,residential
184670959,184670969,134.38560876,residential
184670969,184670980,324.631230852,residential
184670980,184670989,94.7029928532,residential
184679453,184697250,170.599261364,residential
184708856,184727940,7.96768249057,tertiary
184727940,184747593,161.991237443,tertiary
184747593,184732539,188.417185752,tertiary
184708859,184767283,165.608965997,residential
184708865,184787161,144.06368072,residential
184787161,184767283,154.337605339,residential
184767283,184762788,45.9558986655,residential
184747593,184762788,133.509443433,residential
184762788,184696225,527.821931924,residential
184732539,184747603,31.5092981181,tertiary
184747603,184747607,131.554217026,tertiary
184747607,184747619,451.132259683,tertiary
184732539,184637181,277.439393281,secondary
184637181,184637193,65.090326692,secondary
184637193,184779610,583.042606734,secondary
184728971,184731073,653.996882603,residential
184731073,184731140,966.666452919,residential
184731140,184710511,118.275072049,residential
184720139,184663282,135.10511805,tertiary
184663282,184647624,1467.59798538,tertiary
184647624,184728963,803.506240845,tertiary
184728963,184728971,804.111651728,tertiary
184728971,184656997,106.663798322,tertiary
184656997,184641604,841.823863309,tertiary
184641604,184729020,650.794800461,tertiary
184729020,184720299,1606.0239062,tertiary
184720299,184729038,1043.52632212,tertiary
184710509,184710511,10.0733847017,residential
184710511,184710509,10.0733847017,residential
184442591,184759878,1616.36734075,residential
184759878,184729020,1615.52489226,residential
184729020,184779512,1615.29740606,residential
184779512,184758743,1615.26777616,residential
184758743,184680456,807.845344347,residential
184680456,184696927,805.388920277,residential
184696927,184632564,466.093233164,residential
184632564,184775550,342.082771167,residential
184775550,184779541,1783.75743018,residential
184659026,184659087,80.5293300633,residential
184690158,184642466,512.249537515,residential
184642466,184646703,227.95290252,residential
184646703,184633943,67.1037225482,residential
184633943,184659026,120.364479438,residential
184659026,184659087,80.5293300633,residential
184659087,184651214,237.332845786,residential
184651214,184629827,90.5466271537,residential
184629827,184629822,92.9983578821,residential
184629822,184680435,978.599311294,residential
184629772,184629774,22.0509974624,residential
184629774,184629772,22.0509974624,residential
184629827,184629774,179.339016946,residential
184629774,184629822,182.851110059,residential
184680427,184680435,1205.67105571,residential
184680435,184680456,1200.66638897,residential
184680456,184680465,1601.91587012,residential
184720312,184758743,1601.56061491,residential
184720285,184663639,747.972117292,residential
184663639,184720296,849.792363374,residential
184720296,184641629,793.88357549,residential
184641629,184720299,816.094052688,residential
184720299,184720301,1628.13658654,residential
184720301,184720310,1577.88910906,residential
184720310,184720312,41.5169866122,residential
184720312,184680465,800.605505645,residential
184680465,184720320,1595.18938026,residential
184729038,184684360,399.295892364,tertiary
184684360,184727862,1502.41352626,tertiary
184727862,184655328,126.319174858,tertiary
184655328,184655297,58.8757363555,tertiary
184655297,184783021,158.846240359,tertiary
184783021,184688720,158.952507141,tertiary
184727862,184727866,100.456835291,residential
184727866,184727868,101.335721152,residential
184727868,184669542,101.254774058,residential
184669542,184669546,105.066067473,residential
184735868,184669546,106.129973834,residential
184655326,184655302,57.8468488315,service
184655297,184655302,102.357589432,service
184655302,184655326,57.8468488315,service
184655326,184655328,97.7304507619,service
184627223,184627234,46.3784762359,residential
184702137,184702141,99.3262801509,residential
184627212,184627223,194.310398639,residential
184774446,184783021,101.141338087,residential
184783021,184627212,51.8367562623,residential
184627212,184732486,50.6534108353,residential
184732486,184735863,99.3519198709,residential
184688716,184774446,157.546130363,residential
184732480,184732483,141.86847742,residential
184732483,184697422,200.950721106,residential
184697422,184732486,159.355364776,residential
184732486,184702137,164.06290367,residential
184702137,184627234,28.979842846,residential
184627234,184727866,150.055758271,residential
184688720,184697422,101.134973593,tertiary
184735857,184735859,142.108961351,residential
184735859,184697425,200.862168849,residential
184697425,184735863,159.761428356,residential
184735863,184702141,161.254857943,residential
184702141,184735868,50.0171955526,residential
184735868,184727868,130.802182286,residential
184697422,184697425,104.126612827,tertiary
184697425,184682841,100.342507646,tertiary
184682841,184697432,459.27710859,tertiary
